imdbID,title,year,mpaa,duration,genres,rating,metascore,summary,directors,stars,numvotes,gross
0091715,"Le paltoquet",1986,,92,Crime++Drama,6.3,,"Miss Lotte has her residence in a big hangar near a port.She seems to be having nice time with five clients but the arrival of a policeman disturbs their lives.",Michel Deville,Fanny Ardant++Daniel Auteuil++Richard Bohringer++Philippe Léotard,265,
0093088,"Ghost Fever",1986,PG,86,Comedy++Horror,3.7,,"Two policeman are sent on a routine assignment to serve an eviction notice. It becomes anything but run-of-the-mill when they become involved in the ghostly happenings.",Lee Madden,Sherman Hemsley++Luis Avalos++Jennifer Rhodes++Deborah Benson,264,
0091531,"La mitad del cielo",1986,,127,Drama,7.2,,"Rosa is an cantabrian woman who travel to Madrid after the Civil War. With the help of Don Pedro, a chief supplies, she opens a restaurant that transforms in a political and intelectual center.",Manuel Gutiérrez Aragón,Ángela Molina++Margarita Lozano++Fernando Fernán Gómez++Antonio Valero,264,
0091550,"Mord i mørket",1986,,98,Crime,5.9,,"A womanizing reporter investigates death of his friend in Copenhagen's sporting district and the detective finds himself caught between clunky ordeals of police and gangsters involved in drug trafficking.",Sune Lund-Sørensen,Michael Falch++Line Knutzon++Ove Sprogøe++Ole Ernst,263,
0090778,"Bröderna Mozart",1986,,109,Comedy++Drama++Music,5.9,,"This is a comedy about people who work in the theater, live for the theater, think of nothing but the theater. The director seems crazy, the art director has idiotic ideas, and the acting ... See full summary »",Suzanne Osten,Etienne Glaser++Philip Zandén++Henry Bronett++Loa Falkman,260,
0090671,"Attention bandits!",1986,,111,Drama,6.5,,"On the day Jean Gabin dies, a kidnaper who also takes a fortune in jewels heisted from Cartiers murders Simon Verini's wife. (Simon was fencing the jewels for a youthful gang who robbed ... See full summary »",Claude Lelouch,Jean Yanne++Marie-Sophie L.++Patrick Bruel++Charles Gérard,260,
0093968,"Siekierezada",1986,,82,Drama,7.2,,"A young, idealistic poet, turns his back on civilization and goes to small, backwood village, rents a bed in the house of an old woman, and decides to make his living as a lumberjack. Soon ... See full summary »",Witold Leszczynski,Edward Zentara++Ludwik Pak++Daniel Olbrychski++Ludwik Benoit,259,
0092246,"Xaver",1986,,90,Comedy++Sci-Fi,6.8,,"An alien lands outside of Munich, but everyone thinks he's just another tourist. A naive country boy, who doesn't realize he's an alien, meets up with him, calls him ""Alois"" and takes him to the city with him.",Werner Possardt,Carlos Pavlidis++Rupert J. Seidel++Gabi Fischer++Marinus Brand,257,
0091136,"Yari no Gonza",1986,,126,Drama,7.1,,"The tragic story of Gonza, a handsome ladies man, set in the Tokagawa Period, a time in which appearences are very important. Gonza competes with Bannojo for the honor to perform the tea ... See full summary »",Masahiro Shinoda,Haruko Katô++Hideji Ôtaki++Kuniko Miyake++Chôichirô Kawarasaki,256,
0092285,"Zeisters",1986,R,78,Comedy,2.2,,"Two brothers befriend an escaped mental patient ""the fat guy"") and accompany him on his misadventures in the big city.",John Golden,Mark Alfred++Joan Allen++Ted Bardi++Craig Barnett,255,
0091532,"Mo fei cui",1986,,95,Action++Adventure++Comedy,5.9,,"Looking to cash in on the popularity of Steven Spielberg's mega-hits E.T. and Raiders of the Lost Ark, Hong Kong schlockmeister Wong Jing directs this yarn about Andy who, along with ... See full summary »",Jing Wong,Andy Lau++Cynthia Rothrock++Pak-Cheung Chan++Sharla Cheung,254,
0092276,"Yuppies 2",1986,,96,Comedy,4.4,,"Giacomo, Sandro, Lorenzo, Willy are four young professionals who have two holes in their heads:money and beautiful women. They play very course practical jokes on each other as well. One of... See full summary »",Enrico Oldoini,Jerry Calà++Christian De Sica++Massimo Boldi++Ezio Greggio,254,
0091696,"Ormens väg på hälleberget",1986,,111,Drama,6.2,,"A salesman and his son sexually abuse the generations of women of a poor family as payment for debt. Janni must see his mother, sister, niece and wife all being exploited, and the family grow bigger with the abuser's kids.",Bo Widerberg,Stina Ekblad++Stellan Skarsgård++Reine Brynolfsson++Pernilla August,253,
