mLensID,imdbID,ratingAvg,ratingNum,releaseDate,releaseYear,durationMin,mpaaRating,director,country,language,budget,gross
"79575","134108","5.5","41","12 December 1994 (USA)","1994","48","Unrated","Jerry A. Vasilatos","USA","English","$130,000","Unavailable"
"79578","76252","7.7","1,022","23 December 1977 (Finland)","1977","129","None","Risto Jarva","Finland","Finnish","FIM&nbsp;1,830,000","Unavailable"
"79580","34405","6.5","920","9 February 1942 (Sweden)","1942","98","NotRated","Henry King","USA","English","Unavailable","Unavailable"
"79588","1438254","6.5","49,549","30 July 2010 (USA)","2010","0","PG-13","Burr Steers","USA","English","$44,000,000","$31,136,950"
"79590","1205535","6.4","40,874","16 September 2009 (Mexico)","2009","95","R","Bart Freundlich","USA","English","Unavailable","Unavailable"
"79592","1386588","6.7","198,431","6 August 2010 (USA)","2010","107","PG-13","Adam McKay","USA","English","$100,000,000","$119,219,978"
"79594","238859","7.8","58","19 December 1975 (Finland)","1975","0","None","Unavailable","USA","Unavailable","Unavailable","Unavailable"
"79596","51866","7.4","1,637","11 June 1958 (USA)","1958","86","Approved","Don Siegel","USA","English","Unavailable","Unavailable"
"79599","1268987","4.9","9,265","19 May 2012 (Japan)","2012","0","R","Fouad Mikati","USA","English","Unavailable","Unavailable"
"79601","1513713","7.4","5,693","18 December 2009 (Turkey)","2009","0","None","Ilksen Basarir","Turkey","Turkish","Unavailable","Unavailable"
"79603","107175","6.4","842","8 September 1993 (France)","1993","95","None","Jean-Luc Godard","France","French","Unavailable","Unavailable"
"79607","66079","7.9","887","18 October 1970 (Austria)","1970","0","None","Tom Toelle","West Germany","German","Unavailable","Unavailable"
"79610","44331","6.7","1,295","29 July 1952 (USA)","1952","98","None","Vincent Sherman","USA","English","$1,200,000","Unavailable"
"79617","38934","5.2","1,660","17 May 1946 (USA)","1946","61","Passed","Jean Yarbrough","USA","English","Unavailable","Unavailable"
"79627","291833","4.4","2,942","4 July 2001 (UK)","2001","120","Unrated","Alex Chandon","UK","English","Unavailable","Unavailable"
"79633","479937","6.9","2,353","18 January 2008 (Norway)","2008","96","None","Nils Gaup","Denmark","Saami","NOK&nbsp;60,000,000","Unavailable"
"79636","479074","5.1","572","11 October 2007 (Portugal)","2007","94","None","Paul Auster","Spain","English","Unavailable","$5,114"
"79638","93004","7.5","1,577","December 1987 (USA)","(USA)","142","PG","Ettore Scola","Italy","Italian","Unavailable","$346,730"
"79640","81616","7.2","815","8 February 1980 (Italy)","1980","150","None","Ettore Scola","Italy","Italian","Unavailable","Unavailable"
"79642","44566","6.8","451","26 July 1952 (USA)","1952","83","Approved","Claude Binyon","USA","English","Unavailable","Unavailable"
"79644","64227","4.7","332","28 February 1969 (West Germany)","1969","0","M","Henry Levin","USA","English","Unavailable","Unavailable"
"79647","51706","6.2","918","24 April 1959 (Netherlands)","1959","0","Unrated","Robert Day","UK","English","&pound;70,000","Unavailable"
"79651","57239","7.5","1,115","20 November 1962 (UK)","1962","126","None","Bryan Forbes","UK","English","Unavailable","Unavailable"
"79653","32850","6.7","1,133","22 October 1940 (USA)","1940","126","Passed","Cecil B. DeMille","USA","English","Unavailable","Unavailable"
"79656","43599","6.7","968","17 August 1951 (Australia)","1951","109","Approved","Richard Thorpe","USA","English","Unavailable","Unavailable"
"79663","1217070","6.5","8,959","13 November 2009 (Spain)","2009","99","R","Danis Tanovic","Ireland","English","Unavailable","Unavailable"
"79667","45592","7","912","April 1953 (USA)","(USA)","114","Approved","Walter Lang","USA","English","Unavailable","Unavailable"
"79677","1522863","8.6","2,744","22 June 2010 (USA)","2010","104","None","Jeff Zimbalist","Colombia","English","Unavailable","Unavailable"
"79681","34902","6.1","1,048","7 August 1942 (USA)","1942","81","None","Edwin L. Marin","USA","English","$322,000","Unavailable"
"79684","437405","6.7","15,883","1 May 2014 (South Korea)","2014","110","R","Kieran Mulroney","USA","English","Unavailable","$15,388"
"79686","870210","7.2","554","14 March 2009 (USA)","2009","82","None","Jonathan Caouette","UK","English","Unavailable","Unavailable"
"79688","995739","6.8","2,417","19 July 2007 (Hong Kong)","2007","129","R","Benny Chan","Hong Kong","Cantonese","Unavailable","Unavailable"
"79692","1534397","7.3","768","26 December 2009 (Iceland)","2009","109","None","Ragnar Bragason","Iceland","Icelandic","ISK&nbsp;140,000,000","Unavailable"
"79695","1320253","6.5","281,164","13 August 2010 (USA)","2010","103","R","Sylvester Stallone","USA","English","$80,000,000","$102,981,571"
